,0,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,10,0,10,0,10,0,10,5,4,2,8
,,,,,,,,,,,,,,0,10,0,10,0,10,1,9,5,4,6,4
,,,,,,,,,,,,,,0,10,0,10,0,10,0,10,5,4,1,9
,,,,,,,,,,,,,,0,10,0,10,0,10,0,10,8,1,5,5
,,,,,,,,,,,,,,0,10,0,10,0,10,0,10,5,4,2,8
,,,,,,,,,,,,,,0,10,0,10,0,10,0,10,0,9,0,10
,,,,,,,,,,,,,,0,10,0,10,0,10,0,10,5,4,2,8
,,,,,,,,,,,,,,0,100,0,100,0,100,2,98,54,36,29,71
,,,,,,,,,,,,,,0,1,0,1,0,1,0.02,0.98,0.6,0.4,0.29,0.71
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,7,10,0,5,5,10,0,10,0,9,0
,,,,,,,,,,,,,,1,9,10,0,3,7,10,0,10,0,9,0
,,,,,,,,,,,,,,1,9,10,0,4,6,10,0,10,0,9,0
,,,,,,,,,,,,,,1,9,10,0,4,6,10,0,10,0,9,0
,,,,,,,,,,,,,,2,8,10,0,7,3,10,0,10,0,9,0
,,,,,,,,,,,,,,6,4,10,0,10,0,10,0,10,0,9,0
,,,,,,,,,,,,,,2,8,10,0,7,3,10,0,10,0,9,0
,,,,,,,,,,,,,,4,6,10,0,9,1,10,0,10,0,9,0
,,,,,,,,,,,,,,6,4,10,0,10,0,10,0,10,0,9,0
,,,,,,,,,,,,,,3,7,10,0,4,6,10,0,10,0,9,0
,,,,,,,,,,,,,,29,71,100,0,63,37,100,0,100,0,90,0
,,,,,,,,,,,,,,0.29,0.71,1,0,0.63,0.37,1,0,1,0,1,0
