,0,1,2,3,4,5,6,7,8,9,,,,,,,,,
0,eight,,,,,,,,,,,,10Ç©Ç¢ÇÃê∏ìxåüèÿÇÃóﬁéóìxïΩãœÇ∆ïWèÄïŒç∑,,,,,,
1,circle,,,,,,,,,,,,,,,,,,
2,square,,,,,,,,,,,,,,,,,,
3,small_eight,,,,,,,,,,,,,,,,,,
4,small_circle,,,,,,,,,,,,,,,,,,
4,14.86238155,17.76851727,30.13915701,32.59690064,,30.10120804,14.09481054,25.55052825,35.75565541,21.59533872,,,35.32715451,16.70999797,,,,,
5,27.20647494,22.4924405,18.56535055,21.47941593,30.10120804,,27.85408619,41.50559587,60.24433746,44.16480493,,,38.69151336,17.64575462,,,,,
6,11.28950545,15.63718079,22.17331285,26.58091694,14.09481054,27.85408619,,15.66940325,35.43279715,16.61045623,,,40.51412643,17.60845521,,,,,
7,17.86322,25.76397404,32.67051801,38.36187775,25.55052825,41.50559587,15.66940325,,39.35357274,19.22051027,,,45.43303201,18.72837609,,,,,
8,36.48446019,39.67002122,54.80767321,60.20970774,35.75565541,60.24433746,35.43279715,39.35357274,,32.90152563,,,46.68290161,18.29976866,,,,,
9,18.97452294,25.10716905,34.41328715,38.24468324,21.59533872,44.16480493,16.61045623,19.22051027,32.90152563,,,,47.09854867,18.11074834,,,,,
0,,27.28158323,17.93419265,37.69964227,65.8659454,52.51875034,78.24999842,24.47369517,47.88968689,22.63898269,,small_square,48.65439607,17.97962882,,,,,
1,27.28158323,,24.81364952,37.55687824,55.02341495,63.37363331,87.0971782,31.20163628,54.70986736,24.10222288,,,49.43633542,17.58960776,,,,,
2,17.93419265,24.81364952,,43.08748132,70.55315526,61.93794033,89.56226018,28.43427334,56.69139722,20.25850282,,,49.98865424,17.13468371,,,,,
3,37.69964227,37.55687824,43.08748132,,52.30732255,47.04433108,46.81909415,40.44946608,38.46417956,39.5581871,,,50.57000401,15.85726274,,,,,
4,65.8659454,55.02341495,70.55315526,52.30732255,,50.14074393,66.86066121,51.00066362,47.35679237,66.14809386,,,51.90599389,16.6557596,,,,,
5,52.51875034,63.37363331,61.93794033,47.04433108,50.14074393,,47.11269265,43.90609458,35.07910732,56.53559779,,,50.61481949,17.59671441,,,,,
6,78.24999842,87.0971782,89.56226018,46.81909415,66.86066121,47.11269265,,74.74812448,56.01704703,81.57691487,,,50.55605516,19.25983467,,,,,
7,24.47369517,31.20163628,28.43427334,40.44946608,51.00066362,43.90609458,74.74812448,,44.92667865,29.30683227,,,44.14718573,15.66626621,,,,,
8,47.88968689,54.70986736,56.69139722,38.46417956,47.35679237,35.07910732,56.01704703,44.92667865,,51.13322972,,,45.75147501,15.93259748,,,,,
9,22.63898269,24.10222288,20.25850282,39.5581871,66.14809386,56.53559779,81.57691487,29.30683227,51.13322972,,,,43.47317378,21.67827548,,,,,
