,0,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,10,2,8,4,5,0,10,0,10,0,10,,0,10,7,2,1,9,0,10,0,10,0,10,,,,,,,,,,,,,,,,,,,,,,0.355555556,0.842,,,,,,,,,,,,,,,,small_eight,,small_circle,,small_square,,,,,,,,
24,0,10,6,4,6,3,0,10,0,10,0,10,,0,100,58,32,4,96,0,100,0,100,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,正解データ:9個,,認証結果,,認証結果,,認証結果,,,,,,,,
25,0,10,5,5,7,2,0,10,0,10,0,10,,100,100,90,90,100,100,100,100,100,100,100,100,,,,,,30,,48,,0,,0,,1,,,79,,,,,0.644444444,0.008,,,,,,,,,,,,,,不正解データ:500個,,正解,不正解,正解,不正解,正解,不正解,,,,,,,
26,0,10,4,6,5,4,0,10,0,10,0,10,,0,1,0.644444444,0.355555556,0.04,0.96,0,1,0,1,0,1,,,,,,100,,100,,100,,100,,100,,,500,0.158,,,,0.355555556,0.992,,,,,,,,,,,,,,"データ
種類",正解,0.533,0.467,0.600,0.400,0.533,0.467,,,,,,,
27,0,10,1,9,3,6,0,10,0,10,0,10,,,,,,,,,,,,,,,,,,,0.3,,0.48,,0,,0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,不正解,0.204,0.796,0.058,0.942,0.146,0.854,,,,,,,
28,1,9,3,7,1,8,0,10,0,10,0,10,,0,10,3,7,4,5,0,10,0,10,0,10,,,,0,,,,4,,0,,0,,0,,,4,,,,,0.533333333,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,10,3,7,4,5,0,10,0,10,0,10,,1,9,7,3,8,1,0,10,0,10,0,10,,,,100,,,,100,,100,,100,,100,,,500,0.008,,,,0.466666667,0.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,10,0,10,0,10,6,3,5,5,9,1,,0,10,2,8,6,3,0,10,0,10,0,10,,,,0,,,,0.04,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,10,0,10,0,10,6,3,2,8,6,4,,0,10,2,8,4,5,0,10,0,10,0,10,,,,2,,36,,,,0,,0,,0,,,38,,,,,0.533333333,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,10,0,10,0,10,5,4,8,2,5,5,,0,10,6,4,6,3,0,10,0,10,0,10,,,,100,,100,,,,100,,100,,100,,,500,0.076,,,,0.466666667,0.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,
